"","time","value","type","date"
"1",0,61,"heart rate","2017-08-02"
"2",60,61,"heart rate","2017-08-02"
"3",120,62,"heart rate","2017-08-02"
"4",180,60,"heart rate","2017-08-02"
"5",240,62,"heart rate","2017-08-02"
"6",300,61,"heart rate","2017-08-02"
"7",360,60,"heart rate","2017-08-02"
"8",420,60,"heart rate","2017-08-02"
"9",480,61,"heart rate","2017-08-02"
"10",540,60,"heart rate","2017-08-02"
"11",600,59,"heart rate","2017-08-02"
"12",660,61,"heart rate","2017-08-02"
"13",720,61,"heart rate","2017-08-02"
"14",780,61,"heart rate","2017-08-02"
"15",840,61,"heart rate","2017-08-02"
"16",900,61,"heart rate","2017-08-02"
"17",960,69,"heart rate","2017-08-02"
"18",1020,59,"heart rate","2017-08-02"
"19",1080,62,"heart rate","2017-08-02"
"20",1140,61,"heart rate","2017-08-02"
"21",1200,62,"heart rate","2017-08-02"
"22",1260,61,"heart rate","2017-08-02"
"23",1320,62,"heart rate","2017-08-02"
"24",1380,59,"heart rate","2017-08-02"
"25",1440,61,"heart rate","2017-08-02"
"26",1500,63,"heart rate","2017-08-02"
"27",1560,62,"heart rate","2017-08-02"
"28",1620,64,"heart rate","2017-08-02"
"29",1680,62,"heart rate","2017-08-02"
"30",1740,59,"heart rate","2017-08-02"
"31",1800,59,"heart rate","2017-08-02"
"32",1860,58,"heart rate","2017-08-02"
"33",1920,59,"heart rate","2017-08-02"
"34",1980,61,"heart rate","2017-08-02"
"35",2040,60,"heart rate","2017-08-02"
"36",2100,60,"heart rate","2017-08-02"
"37",2160,60,"heart rate","2017-08-02"
"38",2220,58,"heart rate","2017-08-02"
"39",2280,59,"heart rate","2017-08-02"
"40",2340,60,"heart rate","2017-08-02"
"41",2400,60,"heart rate","2017-08-02"
"42",2460,60,"heart rate","2017-08-02"
"43",2520,63,"heart rate","2017-08-02"
"44",2580,61,"heart rate","2017-08-02"
"45",2640,62,"heart rate","2017-08-02"
"46",2700,64,"heart rate","2017-08-02"
"47",2760,64,"heart rate","2017-08-02"
"48",2820,61,"heart rate","2017-08-02"
"49",2880,60,"heart rate","2017-08-02"
"50",2940,60,"heart rate","2017-08-02"
"51",3000,60,"heart rate","2017-08-02"
"52",3060,59,"heart rate","2017-08-02"
"53",3120,60,"heart rate","2017-08-02"
"54",3180,66,"heart rate","2017-08-02"
"55",3240,59,"heart rate","2017-08-02"
"56",3300,58,"heart rate","2017-08-02"
"57",3360,58,"heart rate","2017-08-02"
"58",3420,58,"heart rate","2017-08-02"
"59",3480,62,"heart rate","2017-08-02"
"60",3540,62,"heart rate","2017-08-02"
"61",3600,57,"heart rate","2017-08-02"
"62",3660,61,"heart rate","2017-08-02"
"63",3720,59,"heart rate","2017-08-02"
"64",3780,60,"heart rate","2017-08-02"
"65",3840,60,"heart rate","2017-08-02"
"66",3900,60,"heart rate","2017-08-02"
